User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00052,49,Other,Jaipur,OnePlus,Android,8.6,46.0,181.8,154.0,1.6,,7.5,0.4,1142.0,Social Media
U00053,21,Male,Delhi,Motorola,iOS,9.4,15.4,10.6,34.0,2.5,3130.0,2.5,4.8,1882.0,Education
U00054,51,Male,Lucknow,OnePlus,iOS,5.4,15.8,,115.0,3.2,2929.0,3.0,2.7,1772.0,Social Media
,32,Other,Mumbai,Vivo,iOS,5.8,27.5,30.0,,4.0,948.0,5.6,4.6,122.0,Social Media
U00056,43,Other,Bangalore,Xiaomi,iOS,8.6,14.4,275.5,27.0,4.7,9544.0,3.6,3.4,1395.0,Work
U00057,25,Male,Bangalore,OnePlus,Android,5.6,38.0,296.5,40.0,1.5,799.0,1.0,2.4,1831.0,Work
U00058,16,Female,Pune,Nokia,iOS,9.0,7.1,,,4.9,6088.0,2.1,1.9,,Work
U00059,49,Male,Pune,Motorola,iOS,3.4,17.0,235.4,52.0,2.8,7018.0,7.3,4.7,2000.0,Education
U00060,35,Male,Hyderabad,Xiaomi,iOS,3.0,8.3,253.1,18.0,2.5,9494.0,,4.6,479.0,Gaming
U00061,49,Male,Pune,Apple,Android,4.5,1.9,,197.0,,3575.0,6.7,0.0,679.0,Entertainment
U00062,34,Female,Kolkata,Apple,iOS,3.5,20.6,134.0,73.0,5.6,2918.0,3.0,1.0,329.0,Entertainment
U00063,38,Other,Jaipur,Oppo,iOS,1.3,9.0,119.7,36.0,2.0,5666.0,4.0,4.1,,Education
U00064,38,Female,Ahmedabad,OnePlus,iOS,3.2,13.2,206.3,31.0,3.2,3342.0,4.2,0.3,1005.0,Work
U00065,41,Female,Delhi,Realme,Android,2.5,9.3,111.0,,0.6,2918.0,6.5,1.9,1699.0,Education
U00066,41,Female,Bangalore,Samsung,iOS,8.3,19.4,194.5,25.0,5.8,9918.0,5.3,3.5,782.0,Education
U00067,30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64.0,2.5,468.0,4.9,4.1,,Work
U00068,43,Male,Kolkata,Google Pixel,iOS,3.0,24.3,,,1.1,4443.0,6.3,0.3,,Education
U00069,40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62.0,4.1,8932.0,7.3,,,Social Media
U00070,18,Male,Delhi,Oppo,iOS,5.3,10.4,257.0,116.0,2.3,4368.0,7.6,4.2,1359.0,Gaming
U00071,24,Female,Delhi,Apple,iOS,11.2,14.7,241.5,158.0,1.4,563.0,2.3,3.5,,Work
U00072,51,Female,Lucknow,Oppo,Android,11.9,47.8,21.5,68.0,4.3,7945.0,2.3,3.8,1749.0,Social Media
U00073,23,Other,Kolkata,Motorola,iOS,5.2,34.6,159.3,140.0,4.3,5816.0,7.8,2.8,1406.0,Gaming
U00074,43,Other,Kolkata,Realme,Android,6.9,3.0,74.6,,,1883.0,5.2,1.8,108.0,Gaming
U00075,31,Male,Ahmedabad,Google Pixel,iOS,6.8,26.2,74.5,150.0,5.1,1073.0,1.1,0.8,1393.0,Work
U00076,56,Female,Delhi,Oppo,Android,,,23.2,117.0,1.6,3672.0,3.2,2.1,,Gaming
U00077,51,Female,Ahmedabad,Samsung,iOS,9.2,45.9,,129.0,3.7,5449.0,1.0,3.8,1222.0,Entertainment
U00078,19,Other,Kolkata,Motorola,iOS,6.0,42.2,193.0,101.0,3.1,4606.0,2.2,3.9,705.0,Entertainment
U00079,26,Other,Pune,Xiaomi,iOS,11.1,1.3,51.9,52.0,0.6,,4.7,1.1,1104.0,Social Media
U00080,28,Male,Chennai,Xiaomi,iOS,5.7,49.5,98.2,,,8715.0,7.9,3.2,195.0,Gaming
U00081,37,Other,Pune,OnePlus,iOS,10.5,33.0,69.0,92.0,,8284.0,1.3,4.1,,Work
U00082,42,Other,Lucknow,Google Pixel,Android,1.8,9.2,107.6,19.0,,,,0.6,,Education
U00083,46,Other,Pune,Realme,Android,10.0,30.8,105.6,179.0,3.9,3003.0,,2.4,472.0,Entertainment
U00084,52,Male,Jaipur,Samsung,iOS,,46.6,127.1,56.0,4.6,7151.0,4.1,,554.0,Education
U00085,23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166.0,2.2,9243.0,,4.4,1355.0,Entertainment
U00086,25,Female,Hyderabad,Nokia,Android,,26.4,216.9,78.0,4.0,3751.0,1.7,4.4,1249.0,Entertainment
,39,Female,Ahmedabad,Nokia,Android,2.4,14.6,9.5,84.0,1.6,1401.0,3.6,2.0,1081.0,Education
U00088,43,Other,Lucknow,Vivo,iOS,11.4,45.5,215.1,28.0,1.1,6568.0,,0.5,505.0,Social Media
U00089,39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190.0,2.8,5779.0,6.6,1.3,1767.0,Social Media
U00090,38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95.0,5.2,5891.0,6.4,0.1,1401.0,Gaming
U00091,46,Other,Lucknow,Motorola,Android,6.7,15.8,,187.0,1.2,2427.0,6.4,2.5,1186.0,Gaming
U00092,33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198.0,,305.0,5.1,2.7,324.0,Education
U00093,51,Other,Delhi,Nokia,Android,10.5,28.4,182.7,86.0,,1305.0,7.1,,1479.0,Gaming
,57,Other,Pune,Nokia,iOS,10.8,39.2,,126.0,4.0,526.0,4.7,1.2,1610.0,Entertainment
U00095,59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136.0,2.9,6699.0,1.5,4.2,1239.0,Entertainment
U00096,21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88.0,1.4,9995.0,1.1,0.4,1727.0,Gaming
U00097,17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,,0.7,856.0,,2.0,1474.0,Entertainment
U00098,22,Male,Mumbai,Google Pixel,Android,,12.9,82.9,113.0,3.9,2936.0,,,443.0,Work
U00099,25,Male,Bangalore,Apple,iOS,1.5,25.9,24.3,,4.5,,7.5,0.2,809.0,Entertainment
U00100,29,Female,Kolkata,Motorola,Android,,42.5,71.6,17.0,4.2,1972.0,,3.3,990.0,Social Media
U00101,31,Female,Pune,Apple,iOS,10.9,41.1,273.4,157.0,4.2,,2.8,3.4,431.0,Education
U00102,39,Male,Pune,Apple,Android,8.4,46.3,175.6,180.0,5.6,3881.0,7.0,0.1,1254.0,Social Media
U00103,15,Other,Mumbai,Realme,iOS,10.5,,77.1,137.0,2.2,8230.0,3.1,3.1,,Work
U00104,21,Male,Delhi,Apple,Android,,5.5,30.6,200.0,4.5,5214.0,,3.8,,Entertainment
U00105,56,Male,Hyderabad,Motorola,iOS,11.6,31.6,123.1,150.0,2.0,7124.0,6.7,,1037.0,Entertainment
U00106,29,Female,Jaipur,Xiaomi,iOS,4.8,8.4,253.0,62.0,,1373.0,1.4,0.8,1216.0,Gaming
U00107,58,Female,Chennai,Xiaomi,Android,7.9,7.9,18.5,34.0,1.0,1875.0,3.5,0.4,1983.0,Social Media
U00108,40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142.0,3.6,8911.0,4.4,3.7,1226.0,Work
U00109,38,Other,Hyderabad,Realme,iOS,4.5,20.9,62.8,198.0,,5339.0,0.6,,767.0,Social Media
U00110,32,Other,Delhi,OnePlus,Android,9.2,43.4,281.8,55.0,3.5,3082.0,4.6,3.9,1338.0,Work
U00111,28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190.0,1.4,1623.0,7.6,2.9,1839.0,Education
U00112,57,Male,Jaipur,Nokia,Android,,49.4,257.1,47.0,2.7,5899.0,6.0,2.5,414.0,Gaming
U00113,43,Female,Jaipur,Oppo,iOS,1.2,20.5,,13.0,3.0,4570.0,5.3,3.2,206.0,Social Media
U00114,54,Other,Hyderabad,Google Pixel,Android,,24.5,85.7,163.0,1.5,2640.0,3.8,1.1,,Social Media
U00115,15,Other,Pune,Oppo,iOS,8.5,18.6,118.8,30.0,5.8,7615.0,6.8,2.5,448.0,Education
U00116,27,Male,Jaipur,Apple,iOS,1.5,7.8,50.7,151.0,1.1,,3.4,2.8,392.0,Education
U00117,56,Male,Chennai,Realme,Android,5.2,3.5,6.7,,5.5,8684.0,5.8,0.5,1627.0,Entertainment
U00118,15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51.0,5.4,7174.0,0.7,,1837.0,Education
U00119,19,Female,Chennai,Motorola,iOS,7.2,16.0,163.5,191.0,1.9,6130.0,4.8,,1202.0,Gaming
,31,Other,Mumbai,Realme,iOS,7.5,,259.3,141.0,4.5,1991.0,1.3,1.1,1936.0,Work
U00121,44,Other,Chennai,Nokia,iOS,10.8,15.8,,,3.1,8153.0,7.3,1.6,1350.0,Gaming
U00122,53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,265.2,179.0,3.9,1032.0,,2.1,254.0,Entertainment
U00123,46,Other,Mumbai,Samsung,iOS,5.9,38.1,144.6,186.0,2.1,684.0,,1.2,1562.0,Social Media
U00124,25,Other,Hyderabad,OnePlus,iOS,3.7,49.5,160.5,77.0,4.2,9444.0,1.8,0.2,1268.0,Entertainment
U00125,49,Male,Pune,Google Pixel,Android,10.1,9.4,69.5,125.0,0.7,5893.0,4.2,4.6,837.0,Social Media
U00126,23,Female,Pune,Oppo,iOS,,6.1,68.8,198.0,5.8,3598.0,1.6,,1054.0,Work
U00127,24,Male,Delhi,Samsung,Android,6.1,,,126.0,,1035.0,3.2,1.3,,Gaming
U00128,21,Male,Mumbai,Oppo,iOS,6.5,1.5,115.0,196.0,2.1,1824.0,1.8,1.8,727.0,Entertainment
,39,Female,Delhi,Apple,iOS,4.8,,205.0,,5.3,5852.0,3.6,3.6,1574.0,Work
U00130,50,Female,Delhi,Motorola,iOS,3.7,48.7,57.3,52.0,3.9,7916.0,2.7,2.1,905.0,Social Media
U00131,25,Other,Hyderabad,OnePlus,Android,5.2,37.5,218.5,23.0,3.1,3433.0,6.6,2.0,147.0,Education
U00132,21,Other,Lucknow,Vivo,Android,,27.6,202.1,85.0,1.8,,3.3,4.2,1149.0,Entertainment
U00133,39,Female,Hyderabad,Google Pixel,iOS,7.7,6.6,118.1,39.0,4.9,5299.0,7.9,2.5,1795.0,Social Media
U00134,48,Male,Chennai,Apple,iOS,5.0,22.5,98.8,143.0,,708.0,7.6,2.9,1389.0,Social Media
U00135,18,Other,Lucknow,Apple,Android,3.7,40.8,226.0,,0.8,4554.0,0.9,4.2,411.0,Social Media
U00136,56,Male,Jaipur,Nokia,iOS,4.4,11.9,30.3,68.0,5.7,716.0,,,715.0,Entertainment
U00137,43,Other,Lucknow,Samsung,iOS,2.4,,147.2,143.0,4.8,3847.0,5.6,4.4,,Work
,59,Male,Ahmedabad,Xiaomi,Android,,31.1,216.5,122.0,2.8,,4.1,3.4,267.0,Entertainment
U00139,33,Male,Ahmedabad,Apple,iOS,8.2,34.4,173.0,,5.2,8751.0,0.7,3.0,850.0,Gaming
U00140,19,Male,Lucknow,Vivo,Android,4.1,14.3,134.6,193.0,4.9,977.0,6.2,,512.0,Social Media
U00141,59,Female,Kolkata,Xiaomi,Android,1.5,5.3,286.9,,4.8,151.0,6.9,0.4,,Gaming
U00142,49,Male,Jaipur,Nokia,Android,,14.2,176.7,138.0,3.4,4034.0,8.0,2.5,1130.0,Education
U00143,53,Female,Bangalore,Xiaomi,Android,8.1,22.6,228.5,48.0,2.8,1175.0,5.0,2.2,176.0,Gaming
U00144,49,Other,Lucknow,Motorola,Android,11.7,42.6,218.5,150.0,5.6,6184.0,,0.6,1980.0,Social Media
U00145,57,Other,Chennai,Motorola,iOS,1.1,23.3,41.1,10.0,0.8,2170.0,4.1,2.6,1653.0,Social Media
U00146,45,Male,Mumbai,Vivo,iOS,6.7,26.1,137.5,137.0,4.9,,5.6,1.3,306.0,Social Media
,18,Male,Hyderabad,Apple,Android,,16.7,201.8,43.0,2.9,4640.0,5.2,4.6,1497.0,Entertainment
U00148,42,Male,Chennai,Google Pixel,Android,5.5,49.4,55.7,117.0,1.4,9032.0,2.0,4.5,332.0,Entertainment
U00149,39,Male,Hyderabad,Oppo,Android,3.1,9.3,165.3,199.0,2.6,8547.0,1.4,,186.0,Social Media
U00150,60,Male,Pune,Samsung,Android,11.8,40.7,134.9,75.0,2.0,837.0,2.3,1.8,387.0,Education
U00151,16,Other,Chennai,Samsung,iOS,7.9,6.8,69.8,38.0,2.8,5468.0,7.7,,1304.0,Entertainment
U00152,51,Male,Delhi,Realme,iOS,,26.0,80.4,33.0,,8873.0,4.0,1.3,1318.0,Social Media
U00153,50,Other,Delhi,Motorola,iOS,3.8,15.6,264.9,183.0,0.9,4894.0,0.7,,1740.0,Work
U00154,29,Female,Lucknow,Vivo,iOS,3.9,19.0,64.4,106.0,1.0,9942.0,3.3,0.3,612.0,Social Media
U00155,51,Female,Lucknow,OnePlus,Android,7.3,44.2,211.4,80.0,0.5,6983.0,6.1,2.5,1150.0,Gaming
U00156,50,Other,Ahmedabad,Nokia,iOS,5.4,15.1,40.6,130.0,5.6,3470.0,,2.2,1047.0,Social Media
U00157,34,Other,Kolkata,OnePlus,Android,1.9,1.4,187.6,34.0,,2706.0,0.9,4.4,287.0,Social Media
U00158,16,Other,Jaipur,Motorola,iOS,11.5,41.2,274.4,122.0,4.8,206.0,3.1,1.2,1935.0,Education
,35,Female,Hyderabad,Xiaomi,iOS,7.9,33.3,50.0,,5.8,,6.2,4.0,633.0,Work
U00160,39,Male,Pune,Oppo,Android,7.2,12.1,281.8,58.0,1.9,5116.0,7.6,,1271.0,Social Media
U00161,38,Male,Jaipur,Nokia,iOS,,27.2,166.8,152.0,1.8,1111.0,0.7,4.0,578.0,Work
U00162,34,Other,Mumbai,Realme,iOS,9.4,9.7,,19.0,4.0,7564.0,3.2,,1003.0,Work
U00163,58,Other,Mumbai,Apple,iOS,7.1,43.3,248.5,57.0,2.6,8474.0,2.0,,160.0,Gaming
U00164,40,Other,Chennai,Vivo,iOS,9.9,14.7,128.0,121.0,3.6,,5.2,3.8,258.0,Social Media
U00165,20,Female,Jaipur,Google Pixel,iOS,9.0,6.0,137.9,49.0,0.7,8615.0,0.8,2.3,223.0,Education
U00166,29,Male,Chennai,Oppo,iOS,,,168.3,40.0,2.5,8182.0,4.9,0.2,621.0,Gaming
U00167,29,Other,Chennai,Oppo,iOS,8.1,37.9,218.4,93.0,4.0,,5.5,0.1,157.0,Gaming
U00168,33,Other,Ahmedabad,Google Pixel,iOS,3.6,36.2,83.9,52.0,4.9,639.0,7.9,3.0,1480.0,Gaming
U00169,28,Other,Hyderabad,Samsung,Android,11.1,35.3,,182.0,5.6,,3.3,,1813.0,Social Media
U00170,28,Female,Jaipur,Samsung,iOS,,20.6,,188.0,3.7,7816.0,3.4,3.0,952.0,Social Media
U00171,47,Male,Mumbai,Nokia,iOS,8.7,25.7,196.5,14.0,5.3,2252.0,4.6,3.7,757.0,Education
U00172,39,Female,Chennai,Google Pixel,Android,,32.2,35.9,16.0,4.1,1414.0,0.8,3.6,233.0,Entertainment
U00173,47,Male,Chennai,Samsung,Android,5.0,26.6,250.1,21.0,3.8,2485.0,7.6,0.6,1723.0,Social Media
U00174,19,Other,Mumbai,Xiaomi,Android,11.7,6.2,81.7,20.0,3.3,3667.0,6.1,4.2,722.0,Social Media
U00175,54,Male,Hyderabad,Google Pixel,iOS,8.7,30.9,286.4,173.0,3.0,2456.0,6.8,2.3,1716.0,Social Media
U00176,44,Female,Ahmedabad,Nokia,Android,3.7,26.1,275.5,119.0,2.8,957.0,,1.8,590.0,Work
U00177,52,Female,Lucknow,OnePlus,Android,,18.7,121.5,132.0,1.1,1903.0,5.4,0.2,1804.0,Social Media
U00178,43,Male,Pune,Nokia,Android,5.4,21.2,244.2,140.0,3.3,8206.0,7.9,1.0,1178.0,Social Media
,50,Male,Kolkata,OnePlus,iOS,4.0,,267.7,53.0,5.7,6357.0,0.7,1.2,1479.0,Work
U00180,30,Male,Mumbai,Realme,Android,5.8,15.2,116.0,10.0,2.5,1605.0,4.7,0.2,897.0,Entertainment
U00181,38,Other,Hyderabad,Samsung,Android,,18.7,,147.0,3.3,5150.0,6.5,,408.0,Social Media
U00182,33,Female,Hyderabad,Realme,Android,4.3,44.9,64.7,176.0,5.2,3146.0,2.2,0.2,1484.0,Work
U00183,53,Female,Pune,Google Pixel,Android,4.9,6.5,199.6,181.0,5.1,7676.0,3.3,0.6,1150.0,Work
U00184,56,Male,Kolkata,OnePlus,iOS,10.4,47.4,168.2,127.0,1.8,126.0,5.3,1.3,319.0,Social Media
U00185,58,Female,Pune,Oppo,Android,5.4,14.8,106.0,58.0,5.0,3633.0,1.7,4.6,703.0,Entertainment
U00186,31,Female,Lucknow,Apple,iOS,11.8,35.5,132.0,,4.4,,0.8,2.8,858.0,Entertainment
U00187,42,Female,Mumbai,Realme,Android,10.2,21.4,296.3,175.0,1.1,2252.0,,1.1,,Work
U00188,48,Female,Chennai,Google Pixel,Android,9.4,35.8,256.5,160.0,1.6,8873.0,5.1,1.6,882.0,Work
U00189,51,Female,Delhi,Nokia,iOS,6.1,46.3,38.1,89.0,2.1,6856.0,,0.9,1328.0,Entertainment
,58,Female,Jaipur,Motorola,Android,,7.3,126.7,174.0,,8052.0,7.3,2.4,779.0,Gaming
U00191,32,Other,Hyderabad,Vivo,Android,1.6,9.1,122.1,120.0,3.7,2559.0,,,1557.0,Gaming
,41,Female,Delhi,Samsung,iOS,4.6,49.0,89.2,28.0,4.8,8197.0,6.9,4.4,1969.0,Social Media
U00193,20,Male,Jaipur,Realme,Android,5.0,33.3,28.3,,3.1,2828.0,3.7,2.1,418.0,Social Media
U00194,52,Other,Hyderabad,Nokia,iOS,2.1,50.0,165.8,126.0,2.7,5500.0,6.4,3.9,739.0,Entertainment
U00195,53,Other,Mumbai,Google Pixel,Android,3.3,43.2,102.8,140.0,1.3,1248.0,3.5,0.0,846.0,Social Media
U00196,23,Male,Chennai,Xiaomi,iOS,8.4,8.0,124.2,51.0,4.3,6406.0,,0.1,953.0,Education
U00197,36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,188.4,95.0,1.8,627.0,1.7,4.0,1407.0,Social Media
U00198,34,Female,Kolkata,Nokia,Android,3.9,43.6,,193.0,0.8,2430.0,1.9,4.0,1128.0,Gaming
,45,Other,Delhi,Apple,Android,,15.3,38.5,96.0,5.7,3191.0,7.9,4.6,1082.0,Social Media
,49,Female,Ahmedabad,Realme,iOS,8.4,28.8,62.6,16.0,0.7,3036.0,3.3,3.7,1184.0,Gaming
U00201,17,Other,Mumbai,OnePlus,Android,4.1,20.9,29.9,161.0,5.0,3385.0,7.8,2.3,1139.0,Education
U00202,33,Other,Delhi,Realme,Android,8.7,7.5,258.6,42.0,,8676.0,3.0,1.9,366.0,Gaming
U00203,41,Other,Jaipur,OnePlus,iOS,6.6,44.6,,28.0,2.6,4031.0,,0.3,,Education
U00204,45,Other,Hyderabad,OnePlus,Android,3.9,3.6,154.3,183.0,5.6,3338.0,7.6,4.9,929.0,Gaming
U00205,25,Female,Delhi,Realme,iOS,1.5,19.1,235.2,17.0,2.0,5411.0,7.5,4.6,1540.0,Education
U00206,60,Other,Delhi,Xiaomi,Android,7.9,,238.0,65.0,2.2,4387.0,7.3,4.1,171.0,Entertainment
U00207,59,Other,Lucknow,Oppo,Android,7.2,1.0,147.4,93.0,3.6,3533.0,3.2,3.5,541.0,Work
U00208,23,Female,Bangalore,Xiaomi,Android,3.2,32.2,92.2,112.0,4.1,6328.0,1.9,2.0,252.0,Social Media
U00209,21,Male,Ahmedabad,Realme,Android,2.7,25.3,76.5,169.0,5.9,2312.0,4.0,1.8,185.0,Gaming
U00210,16,Male,Chennai,Oppo,Android,8.2,8.4,233.3,142.0,0.9,8059.0,1.2,4.6,1804.0,Work
U00211,15,Other,Kolkata,Vivo,iOS,11.4,20.4,171.1,47.0,1.6,,7.8,4.2,535.0,Work
U00212,20,Female,Jaipur,Oppo,Android,,10.9,103.8,144.0,3.5,4535.0,1.7,2.8,1130.0,Entertainment
U00213,37,Male,Hyderabad,Motorola,Android,,26.3,94.1,31.0,3.8,9853.0,7.8,,644.0,Social Media
U00214,18,Other,Bangalore,Google Pixel,Android,10.7,24.8,170.7,184.0,1.0,9616.0,2.0,3.8,1542.0,Work
U00215,33,Other,Delhi,Samsung,Android,8.3,46.6,28.4,175.0,0.6,9944.0,7.4,4.2,1390.0,Social Media
U00216,21,Male,Jaipur,Google Pixel,iOS,12.0,18.0,211.5,113.0,3.1,,1.3,2.0,1766.0,Work
U00217,28,Other,Ahmedabad,Oppo,Android,10.1,23.4,209.2,,5.7,5198.0,4.1,1.6,1712.0,Gaming
U00218,26,Female,Jaipur,Google Pixel,Android,5.5,8.5,207.8,132.0,1.4,2955.0,3.0,0.5,388.0,Entertainment
U00219,51,Other,Ahmedabad,Oppo,Android,5.4,49.1,106.7,126.0,,187.0,,0.7,1496.0,Entertainment
